IMG Genome ID	Length
2511231031	959
2512564013	999
2562617114	0
2582581278	1227
2582581314	1242
2582581865	863
2585427592	1165
2585427594	1285
2585428045	1048
2585428059	1263
2585428060	0
2585428115	1143
2585428182	0
2588254255	0
2609459615	275
2609459643	226
2609459674	117
2609459675	0
2609459710	134
2609459712	99
2609459724	1083
2609459726	164
2609459727	229
2609459734	1063
2609459762	1260
2615840537	265
2615840538	274
2615840539	279
2615840593	286
2615840594	272
2615840604	239
2615840634	270
2615840635	71
2615840636	89
2615840644	491
2616644843	1041
2616644845	314
2616644976	330
2684623005	1079
2690315629	278
2690315634	286
2690315656	1141
2693429827	193
2738541300	1002
2757320414	1002
2795386103	566
2795386115	1039
2795386123	978
2799112205	1130
2799112223	1002
2799112226	290
2799112248	318
2799112264	1002
2799112266	1261
