IMG Genome ID	FW Primer	RV Primer	Length
2582581865	None	227	864
2609459615	None	245	931
2609459643	None	None	227
2609459710	None	None	135
2609459712	None	None	100
2609459726	None	None	165
2609459727	None	None	230
2609459762	None	245	915
2615840537	None	242	904
2615840538	None	None	275
2615840539	None	None	280
2615840604	None	None	240
2615840635	None	None	72
2615840636	None	None	90
2616644976	None	None	331
2690315629	None	None	279
2690315656	None	244	877
2795386103	521	None	567
2799112226	None	None	291
2799112248	None	None	319
